colony,treatment,emigration,ID,age,colour
55,choice,3,pyp,new,none
59,no_choice,1,bbb,new,none
59,no_choice,1,bby,old,yellow
59,no_choice,1,bgw,old,yellow
59,no_choice,1,bob,old,none
59,no_choice,1,boo,new,none
59,no_choice,1,bwo,old,yellow
59,no_choice,1,byg,new,none
59,no_choice,1,gbb,new,none
59,no_choice,1,gbo,old,yellow
59,no_choice,1,ggb,old,yellow
59,no_choice,1,ggg,new,none
59,no_choice,1,gow,new,none
59,no_choice,1,gwg,new,none
59,no_choice,1,gyy,old,yellow
59,no_choice,1,o,old,yellow
59,no_choice,1,obg,old,yellow
59,no_choice,1,ogo,new,none
59,no_choice,1,ogy,old,yellow
59,no_choice,1,oob,new,none
59,no_choice,1,owb,old,none
59,no_choice,1,oyo,new,none
59,no_choice,1,oyw,old,yellow
59,no_choice,1,poo,new,none
59,no_choice,1,pww,new,none
59,no_choice,1,w,old,yellow
59,no_choice,1,wbw,old,yellow
59,no_choice,1,wgg,old,yellow
59,no_choice,1,woo,old,yellow
59,no_choice,1,wpp,new,none
59,no_choice,1,wwo,new,none
59,no_choice,1,www,new,none
59,no_choice,1,wwy,old,none
59,no_choice,1,wyb,old,yellow
59,no_choice,1,y,old,yellow
59,no_choice,1,ybb,old,yellow
59,no_choice,1,ygg,new,none
59,no_choice,1,ygo,old,yellow
59,no_choice,1,yoy,old,none
59,no_choice,1,ypy,new,none
59,no_choice,1,yww,old,none
59,no_choice,1,yyg,old,yellow
59,no_choice,1,yyo,new,none
59,no_choice,1,yyy,new,none
59,no_choice,2,bbb,new,none
59,no_choice,2,bby,old,yellow
59,no_choice,2,bgw,old,yellow
59,no_choice,2,bob,old,yellow
59,no_choice,2,boo,new,none
59,no_choice,2,bwo,old,yellow
59,no_choice,2,byg,new,none
59,no_choice,2,gbb,new,none
59,no_choice,2,gbo,old,yellow
59,no_choice,2,ggb,old,yellow
59,no_choice,2,ggg,new,none
59,no_choice,2,gow,new,none
59,no_choice,2,gwg,new,none
59,no_choice,2,gyy,old,none
59,no_choice,2,o,old,yellow
59,no_choice,2,obg,old,none
59,no_choice,2,ogo,new,none
59,no_choice,2,ogy,old,yellow
59,no_choice,2,oob,new,none
59,no_choice,2,owb,old,yellow
59,no_choice,2,oyo,new,none
59,no_choice,2,oyw,old,yellow
59,no_choice,2,poo,new,none
59,no_choice,2,pww,new,none
59,no_choice,2,w,old,yellow
59,no_choice,2,wbw,old,yellow
59,no_choice,2,wgg,old,yellow
59,no_choice,2,woo,old,none
59,no_choice,2,wpp,new,none
59,no_choice,2,wwo,new,none
59,no_choice,2,www,new,none
59,no_choice,2,wwy,old,none
59,no_choice,2,wyb,old,none
59,no_choice,2,y,old,yellow
59,no_choice,2,ybb,old,yellow
59,no_choice,2,ygg,new,none
59,no_choice,2,ygo,old,yellow
59,no_choice,2,yoy,old,none
59,no_choice,2,ypy,new,none
59,no_choice,2,yww,old,yellow
59,no_choice,2,yyg,old,none
59,no_choice,2,yyo,new,none
59,no_choice,2,yyy,new,none
59,no_choice,3,bbb,new,blue
59,no_choice,3,bby,old,blue
59,no_choice,3,bgw,old,blue
59,no_choice,3,bob,old,blue
59,no_choice,3,boo,new,blue
59,no_choice,3,bwo,old,blue
59,no_choice,3,byg,new,none
59,no_choice,3,gbb,new,blue
59,no_choice,3,gbo,old,blue
59,no_choice,3,ggb,old,blue
59,no_choice,3,ggg,new,blue
59,no_choice,3,gow,new,blue
59,no_choice,3,gwg,new,blue
59,no_choice,3,gyy,old,blue
59,no_choice,3,o,old,blue
59,no_choice,3,obg,old,blue
59,no_choice,3,ogo,new,blue
59,no_choice,3,ogy,old,blue
59,no_choice,3,oob,new,none
59,no_choice,3,owb,old,blue
59,no_choice,3,oyo,new,none
59,no_choice,3,oyw,old,blue
59,no_choice,3,poo,new,none
59,no_choice,3,pww,new,none
59,no_choice,3,w,old,blue
59,no_choice,3,wbw,old,none
59,no_choice,3,wgg,old,blue
59,no_choice,3,woo,old,blue
59,no_choice,3,wpp,new,none
59,no_choice,3,wwo,new,none
59,no_choice,3,www,new,blue
59,no_choice,3,wwy,old,blue
59,no_choice,3,wyb,old,blue
59,no_choice,3,y,old,blue
59,no_choice,3,ybb,old,blue
59,no_choice,3,ygg,new,none
59,no_choice,3,ygo,old,blue
59,no_choice,3,yoy,old,none
59,no_choice,3,ypy,new,none
59,no_choice,3,yww,old,blue
59,no_choice,3,yyg,old,blue
59,no_choice,3,yyo,new,blue
59,no_choice,3,yyy,new,blue
60,no_choice,1,bwb,old,yellow
60,no_choice,1,gbo,old,yellow
60,no_choice,1,gyy,old,yellow
60,no_choice,1,obg,old,yellow
60,no_choice,1,ogy,old,yellow
60,no_choice,1,oob,old,yellow
60,no_choice,1,oyo,old,none
60,no_choice,1,wbb,old,yellow
60,no_choice,1,wgg,old,yellow
60,no_choice,1,woy,old,yellow
60,no_choice,1,wyw,old,none
60,no_choice,1,wwo,dead,none
